,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
66,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Enérgico,Animado,90,Escuela privada,Ciencias naturales y aplicadas,Masculino,>33,Avanzado,Avanzado,Básico,Nulo
67,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Triunfante,,80,Escuela privada,Humanidades,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
68,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Triunfante,,80,Escuela privada,Humanidades,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
69,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Enérgico,Resiliente,25,N/R,N/R,Masculino,N/R,N/R,N/R,N/R,N/R
70,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Resiliente,Alegría,60,Escuela privada,Negocios,Femenino,18-20,Avanzado,Avanzado,Nulo,Nulo
71,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Resiliente,Alegría,60,Escuela privada,Negocios,Femenino,18-20,Avanzado,Avanzado,Nulo,Nulo
72,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Fascinante,Aliviador,Enternecedor,93,N/R,N/R,Masculino,N/R,N/R,N/R,N/R,N/R
73,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,,,30,Escuela privada,Negocios,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
74,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,,,30,Escuela privada,Negocios,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
75,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Alegría,,90,Escuela privada,No aplica,Femenino,<15,Avanzado,Básico,Básico,Nulo
76,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Enérgico,Animado,67,Escuela privada,Ciencias naturales y aplicadas,Femenino,18-20,Avanzado,Avanzado,Básico,Nulo
77,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Anticipación,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Resiliente,Animado,43,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
78,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Optimismo,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Fascinante,Triunfante,Resiliente,96,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Básico,Nulo
79,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Éxtasis,TRUE,Malestar (Problemas; miseria; estado o condición incómoda),Triste,Triste,Melancólico,56,N/R,N/R,Femenino,N/R,N/R,N/R,N/R,N/R
80,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Distracción,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Agradable,Sereno,Sentimental,27,Escuela pública,No aplica,No binario,24-26,Avanzado,Intermedio,Básico,Nulo
81,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Interés,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Tenso,Nervioso,25,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
82,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Resiliente,Animado,100,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Intermedio,Nulo,Nulo
